"year","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","CO","NO2","Ozone","SO2","PM10","PM2.5","ALMONDS","APPLES","APRICOTS","AVOCADOS","PEACHES","PLUMS","SUNFLOWER","CHERRIES","STRAWBERRIES","BANANAS","BLACKBERRIES","total_food","temperature"
1982,"CT",NA,NA,NA,NA,NA,NA,53.4496402631531,51.8011921296296,70.8675990802323,71.3809032645888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"DC",NA,NA,NA,NA,NA,NA,65.6064771087498,55.3122520997521,93.0108567902686,67.852141955267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"DE",NA,NA,NA,NA,NA,NA,38.1770833333333,54.4259259259259,50.7160453216374,41.6411114458618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"FL",NA,NA,NA,NA,NA,NA,53.0586294896222,54.0435542466792,43.7871042926561,44.78470985184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"GA",NA,NA,NA,NA,NA,NA,31.9994649048815,34.9869513588264,55.5658820916431,61.243652834094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"HI",NA,NA,NA,NA,NA,NA,33.0218951690535,2,18.5285836385836,57.8921212121212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"IA",NA,NA,NA,NA,NA,NA,52.2806850464099,NA,37.1214891142679,56.1283625915539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"ID",NA,NA,NA,NA,NA,NA,56.0755817996873,NA,NA,58.3412368156922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"IL",NA,NA,NA,NA,NA,NA,51.6873212539131,56.6658061845562,37.2033565802098,60.0237886583086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"IN",NA,NA,NA,NA,NA,NA,51.228021978022,38.1333403361345,57.168661037532,73.11853641306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"KS",NA,NA,NA,NA,NA,NA,53.2689731581292,46.2599465187185,40.0203021642754,73.1166869079572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"KY",NA,NA,NA,NA,NA,NA,47.7579818243589,48.2258417434075,47.9444639697127,79.1259303190426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"LA",NA,NA,NA,NA,NA,NA,41.910119047619,44.3840889850043,41.868495128269,38.7083468059879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"MA",NA,NA,NA,NA,NA,NA,73.1707395999063,53.1682990620491,61.154891213618,70.2686153228472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"MD",NA,NA,NA,NA,NA,NA,56.1727303208021,55.5134613055628,50.9441952649002,64.19275484576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"ME",NA,NA,NA,NA,NA,NA,34.7323232323232,NA,44.6127605212887,56.4792287490887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"MI",NA,NA,NA,NA,NA,NA,40.0062627913118,44.843253968254,40.3981684058248,62.789480789903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"MN",NA,NA,NA,NA,NA,NA,51.438021365484,51.4088888888889,34.4224761176158,45.5561313986991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"MO",NA,NA,NA,NA,NA,NA,31.6224682586917,60.6467855994066,51.345347678807,63.2754373281296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"MS",NA,NA,NA,NA,NA,NA,22.9093176489611,36.9166666666667,47.320021692034,17.9113171521677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
