state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,yeildpercol,CO,NO2,Ozone,PM10,PM2.5,SO2
Michigan,72000.0,75.0,5400000.0,2970000.0,0.6,3240000.0,2000,,6.11731843575419,16.797235023041473,44.9109768907563,45.04545454545455,50.74617563739377,46.022968197879855
Minnesota,150000.0,90.0,13500000.0,3105000.0,0.57,7695000.0,2000,,11.54083885209713,34.141843971631204,39.87205081669691,25.97037037037037,49.625,17.731939163498097
Mississippi,17000.0,72.0,1224000.0,649000.0,0.69,845000.0,2000,,20.357142857142858,20.04255319148936,65.14053487152596,19.348484848484848,51.54468599033817,31.917293233082702
Missouri,23000.0,75.0,1725000.0,362000.0,0.6,1035000.0,2000,,18.375,35.722772277227726,63.77518345563709,24.814814814814813,53.60914359304572,50.52748154224774
Montana,124000.0,88.0,10912000.0,4692000.0,0.59,6438000.0,2000,,17.526675786593707,19.08433734939759,34.15675675675676,23.305256064690028,39.93507588532884,58.27608982826949
Nebraska,50000.0,87.0,4350000.0,2610000.0,0.59,2567000.0,2000,,15.768595041322314,,42.17808219178082,38.44347826086957,41.23777173913044,55.4
Nevada,10000.0,35.0,350000.0,95000.0,1.45,508000.0,2000,,36.72549019607843,54.11111111111112,54.91501976284585,32.09124087591241,52.142857142857146,
New Jersey,11000.0,35.0,385000.0,200000.0,0.61,235000.0,2000,,18.434944237918216,44.10628019323672,51.19928443649374,58.71428571428572,58.011213047910296,36.56794425087108
New Mexico,15000.0,64.0,960000.0,739000.0,0.72,691000.0,2000,,7.23943661971831,41.160714285714285,57.11373523927905,25.48669201520913,30.48372513562387,84.4472049689441
New York,58000.0,80.0,4640000.0,2274000.0,0.55,2552000.0,2000,,20.62190812720848,42.90434782608696,42.02489199753137,,52.03109383675736,57.79549718574109
North Carolina,11000.0,49.0,539000.0,243000.0,1.43,771000.0,2000,,19.062146892655367,38.6,63.47946725860155,18.214285714285715,56.57149103629209,21.456344586728758
North Dakota,300000.0,115.0,34500000.0,13800000.0,0.57,19665000.0,2000,,,11.822966507177034,34.543449197860966,11.517241379310343,31.448979591836736,21.29480901077375
Ohio,18000.0,65.0,1170000.0,585000.0,0.79,924000.0,2000,,25.093023255813957,40.23684210526316,55.28758865248227,24.86481481481481,63.59147424511545,42.34815756035578
Oklahoma,7000.0,35.0,245000.0,64000.0,1.26,309000.0,2000,,35.09090909090909,21.50227272727273,59.6310502283105,33.785714285714285,47.83264033264033,28.108996539792383
Oregon,48000.0,51.0,2448000.0,1665000.0,0.66,1616000.0,2000,,26.88190954773869,25.310344827586206,35.87115666178624,27.294117647058822,36.98523748395379,
Pennsylvania,25000.0,45.0,1125000.0,630000.0,0.76,855000.0,2000,,34.0,34.62380952380953,54.14947116344043,44.1578947368421,58.81247484909457,58.927927927927925
South Dakota,235000.0,121.0,28435000.0,12796000.0,0.58,16492000.0,2000,,,,36.516216216216215,33.551839464882946,29.984031936127742,
Tennessee,9000.0,61.0,549000.0,104000.0,1.43,785000.0,2000,,28.0,28.013761467889907,68.38004136504654,30.25,59.404480398257625,57.35021097046413
Texas,105000.0,79.0,8295000.0,2986000.0,0.57,4728000.0,2000,,40.617283950617285,38.01012658227848,52.49803278688525,51.98863636363637,48.73246878001921,72.29566854990584
Utah,24000.0,41.0,984000.0,462000.0,0.6,590000.0,2000,,24.25886524822695,41.0,65.06685768863419,39.340425531914896,36.61038961038961,45.78125
Vermont,7000.0,59.0,413000.0,211000.0,0.68,281000.0,2000,,13.285714285714286,22.92830188679245,38.85217391304348,13.6,41.08812260536399,39.06666666666667
Virginia,7000.0,42.0,294000.0,103000.0,1.5,441000.0,2000,,13.086805555555555,29.793950850661627,54.022506393861896,21.56756756756757,55.784019975031214,31.181942544459645
Washington,52000.0,54.0,2808000.0,1151000.0,0.58,1629000.0,2000,,21.27433628318584,40.66666666666666,33.23961038961039,23.81180811808118,47.36489252814739,21.394736842105264
West Virginia,7000.0,54.0,378000.0,234000.0,1.22,461000.0,2000,,20.705882352941178,,52.06215846994535,24.103448275862068,59.23726851851852,65.5804311774461
Wisconsin,84000.0,90.0,7560000.0,4385000.0,0.68,5141000.0,2000,,9.980132450331126,41.03174603174603,44.88224911749874,27.615384615384617,50.18490566037736,37.61224489795919
Wyoming,39000.0,93.0,3627000.0,798000.0,0.59,2140000.0,2000,,,,52.17669172932331,23.418196994991654,31.83089770354906,
Alabama,14000.0,73.0,1022000.0,235000.0,0.72,736000.0,2001,,121.01492537313432,26.0,52.271167474822825,23.060606060606062,56.11666666666667,17.837209302325583
Arizona,43000.0,59.0,2537000.0,1142000.0,0.72,1827000.0,2001,,,53.21830985915493,57.97978047371461,44.31372549019608,32.67713004484305,78.73391812865498
Arkansas,50000.0,98.0,4900000.0,1617000.0,0.65,3185000.0,2001,,,32.5,49.910714285714285,,50.82644628099174,14.164233576642337
California,460000.0,61.0,28060000.0,7857000.0,0.69,19361000.0,2001,,30.54237288135593,41.521012658227846,61.49343562163872,134.14523281596453,70.02635431918009,73.32098765432099
Colorado,26000.0,55.0,1430000.0,529000.0,0.71,1015000.0,2001,,25.63235294117647,51.16059957173447,48.6978591160221,24.382685069008783,35.18618042226488,66.1588785046729
Florida,220000.0,100.0,22000000.0,3432000.0,0.64,14080000.0,2001,,29.74074074074074,38.34453781512605,43.42624346345616,28.237163814180928,47.9775,45.8970802919708
Georgia,55000.0,57.0,3135000.0,188000.0,0.7,2195000.0,2001,,,33.16267942583732,55.75141242937853,21.56,56.27795698924732,22.030172413793103
Hawaii,8000.0,87.0,696000.0,84000.0,0.87,606000.0,2001,,15.5,21.46153846153846,23.05829596412556,24.142857142857142,27.953846153846158,116.51968503937007
Idaho,100000.0,46.0,4600000.0,1610000.0,0.67,3082000.0,2001,,20.702517162471395,31.0,42.2741116751269,24.174485596707814,39.68649669499528,71.63148148148149
Illinois,6000.0,76.0,456000.0,251000.0,1.58,720000.0,2001,,21.92207792207792,49.05309734513274,44.80670720471716,27.33783783783784,61.2930086410055,49.223880597014926
Indiana,7000.0,76.0,532000.0,186000.0,0.92,489000.0,2001,,12.791946308724832,25.414985590778095,59.96670870113493,22.89902280130293,59.5204806116876,48.120050020842015
Iowa,33000.0,51.0,1683000.0,875000.0,0.75,1262000.0,2001,,27.428571428571427,27.428571428571427,45.614671814671816,27.066666666666663,50.34647460197119,32.88918918918919
Kansas,13000.0,51.0,663000.0,530000.0,0.96,636000.0,2001,,30.53333333333333,34.136,50.18361836183618,22.947115384615383,50.47303921568628,44.72727272727273
Kentucky,4000.0,78.0,312000.0,125000.0,1.41,440000.0,2001,,4.34,28.83222591362126,54.8280797410121,22.2109375,57.72408759124088,45.17109826589596
Louisiana,45000.0,106.0,4770000.0,572000.0,0.6,2862000.0,2001,,,38.0125786163522,45.99033273381295,34.6,49.84786821705426,68.56756756756756
Maine,11000.0,20.0,220000.0,106000.0,0.79,174000.0,2001,,,25.8099173553719,44.39259259259259,26.36470588235294,28.07361963190184,14.347676419965577
Maryland,4000.0,46.0,184000.0,55000.0,1.6,294000.0,2001,,,36.43333333333333,61.32473702069902,48.66666666666666,59.26286353467562,51.53846153846154
Michigan,76000.0,60.0,4560000.0,2827000.0,0.81,3694000.0,2001,,6.890625,31.5503355704698,54.77965221905009,47.5,49.527834008097166,43.129979035639415
Minnesota,135000.0,81.0,10935000.0,1859000.0,0.65,7108000.0,2001,,10.082788671023964,34.08053691275168,39.48850118953212,26.33980582524272,45.27454545454545,14.466666666666669
Mississippi,17000.0,66.0,1122000.0,224000.0,0.89,999000.0,2001,,26.19047619047619,21.441624365482237,52.345819761129206,18.192307692307693,49.85044642857143,27.396825396825395
Missouri,22000.0,61.0,1342000.0,336000.0,0.71,953000.0,2001,,20.545454545454547,32.58282208588957,62.227777777777774,41.05531914893617,52.37578027465668,46.36585365853659
Montana,136000.0,102.0,13872000.0,4578000.0,0.67,9294000.0,2001,,16.321156773211566,23.154545454545456,34.07954545454545,23.86582947785856,33.96519524617997,54.62015503875969
Nebraska,43000.0,48.0,2064000.0,1115000.0,0.72,1486000.0,2001,,16.906474820143885,,36.44765342960289,28.96794871794872,42.55962059620596,9.0
Nevada,9000.0,50.0,450000.0,36000.0,2.14,963000.0,2001,,37.13636363636363,50.577777777777776,53.78886010362695,31.64814814814815,50.57446808510638,
New Jersey,11000.0,34.0,374000.0,71000.0,0.85,318000.0,2001,,16.466257668711656,44.42193675889328,58.68739717012175,49.0,58.30398069963812,40.61904761904762
New Mexico,10000.0,70.0,700000.0,350000.0,0.66,462000.0,2001,,7.918238993710692,41.97142857142857,53.8458942632171,19.894389438943893,26.95413758723829,58.83606557377049
New York,53000.0,70.0,3710000.0,1781000.0,0.79,2931000.0,2001,,17.292181069958847,42.01123595505618,50.04919338777136,43.25,53.63603133159269,56.3372641509434
North Carolina,13000.0,44.0,572000.0,172000.0,1.48,847000.0,2001,,18.24390243902439,37.388888888888886,61.916304347826085,23.0,52.34402852049911,26.424908424908423
North Dakota,280000.0,96.0,26880000.0,9408000.0,0.69,18547000.0,2001,,,13.227272727272728,35.71177944862156,22.244444444444444,33.551330798479086,21.505325443786983
Ohio,18000.0,81.0,1458000.0,569000.0,1.01,1473000.0,2001,,19.5,39.85714285714285,61.92926583975864,23.707386363636363,62.18382861091914,41.341470675796366
Oklahoma,4000.0,47.0,188000.0,105000.0,1.43,269000.0,2001,,28.77777777777778,24.371794871794872,59.801875,35.8051948051948,49.01880530973451,33.628158844765345
Oregon,44000.0,44.0,1936000.0,1200000.0,0.74,1433000.0,2001,,25.91784702549575,24.75862068965517,37.14225352112676,23.94915254237288,35.084187635911775,
Pennsylvania,26000.0,57.0,1482000.0,785000.0,0.92,1363000.0,2001,,24.8,33.89056939501779,66.59750331000568,39.23529411764706,61.27701778385773,60.36158192090395
South Carolina,7000.0,40.0,280000.0,67000.0,0.79,221000.0,2001,,,36.76190476190476,53.87299726455647,41.05118110236221,52.80588647512264,50.53097345132744
South Dakota,235000.0,65.0,15275000.0,12220000.0,0.71,10845000.0,2001,,,,40.46071428571429,33.65133171912833,30.771704180064308,
Tennessee,8000.0,59.0,472000.0,131000.0,1.39,656000.0,2001,,39.90909090909091,28.336898395721924,60.74516216952848,32.44,56.78531425015557,50.27125193199382
Texas,97000.0,79.0,7663000.0,1533000.0,0.65,4981000.0,2001,,41.36559139784946,35.037234042553195,49.78668381197314,46.99346405228758,46.99475171578523,67.71023965141612
